country_code,country_name,is_import,is_export
AFG,Afghanistan,False,False
AGO,Angola,False,False
ALB,Albania,False,False
AND,Andorra,False,False
ARE,United Arab Emirates,False,True
ARG,Argentina,False,True
ARM,Armenia,False,False
ATG,Antigua & Barbuda,False,False
AUS,Australia,False,True
AUT,Austria,False,False
AZE,Azerbaijan,False,False
BDI,Burundi,False,False
BEL,Belgium,False,False
BEN,Benin,False,False
BFA,Burkina Faso,False,False
BGD,Bangladesh,False,False
BGR,Bulgaria,False,False
BHR,Bahrain,False,False
BHS,Bahamas,False,False
BIH,Bosnia & Herzegovina,False,False
BLR,Belarus,False,False
BLZ,Belize,False,False
BOL,Bolivia,False,False
BRA,Brazil,False,True
BRB,Barbados,False,False
BRN,Brunei,False,False
BTN,Bhutan,False,False
BWA,Botswana,False,False
CAF,Central African Republic,False,False
CAN,Canada,False,False
CHE,Switzerland,False,False
CHL,Chile,False,True
CHN,China,True,True
CIV,Côte d’Ivoire,False,False
CMR,Cameroon,False,False
COD,DR Congo,False,False
COG,Republic of the Congo,False,False
COK,Cook Islands,False,False
COL,Colombia,False,True
COM,Comoros,False,False
CPV,Cabo Verde,False,False
CRI,Costa Rica,False,True
CUB,Cuba,False,False
CYP,Cyprus,False,False
CZE,Czechia,False,False
DEU,Germany,True,False
DJI,Djibouti,False,False
DMA,Dominica,False,False
DNK,Denmark,False,True
DOM,Dominican Republic,False,False
DZA,Algeria,False,True
ECU,Ecuador,False,False
EGY,Egypt,False,True
ERI,Eritrea,False,False
ESH,Western Sahara,False,False
ESP,Spain,True,True
EST,Estonia,False,False
ETH,Ethiopia,False,False
FIN,Finland,False,False
FJI,Fiji,False,False
FRA,France,True,False
FSM,Micronesia,False,False
GAB,Gabon,False,False
GBR,United Kingdom,False,False
GEO,Georgia,False,False
GHA,Ghana,False,False
GIN,Guinea,False,False
GMB,Gambia,False,False
GNB,Guinea-Bissau,False,False
GNQ,Equatorial Guinea,False,False
GRC,Greece,False,False
GRD,Grenada,False,False
GTM,Guatemala,False,False
GUY,Guyana,False,False
HND,Honduras,False,False
HRV,Croatia,False,False
HTI,Haiti,False,False
HUN,Hungary,False,False
IDN,Indonesia,False,True
IND,India,True,True
IRL,Ireland,False,False
IRN,Iran,False,False
IRQ,Iraq,False,False
ISL,Iceland,False,False
ISR,Israel,False,False
ITA,Italy,False,False
JAM,Jamaica,False,False
JOR,Jordan,False,True
JPN,Japan,True,False
KAZ,Kazakhstan,False,True
KEN,Kenya,False,True
KGZ,Kyrgyzstan,False,False
KHM,Cambodia,False,False
KIR,Kiribati,False,False
KNA,St. Kitts & Nevis,False,False
KOR,South Korea,True,False
KWT,Kuwait,False,False
LAO,Laos,False,False
LBN,Lebanon,False,False
LBR,Liberia,False,False
LBY,Libya,False,False
LCA,St. Lucia,False,False
LIE,Liechtenstein,False,False
LKA,Sri Lanka,False,False
LSO,Lesotho,False,False
LTU,Lithuania,False,False
LUX,Luxembourg,False,False
LVA,Latvia,False,False
MAR,Morocco,False,True
MCO,Monaco,False,False
MDA,Moldova,False,False
MDG,Madagascar,False,False
MDV,Maldives,False,False
MEX,Mexico,False,True
MHL,Marshall Islands,False,False
MKD,North Macedonia,False,False
MLI,Mali,False,False
MLT,Malta,False,False
MMR,Myanmar,False,False
MNE,Montenegro,False,False
MNG,Mongolia,False,False
MOZ,Mozambique,False,False
MRT,Mauritania,False,True
MUS,Mauritius,False,False
MWI,Malawi,False,False
MYS,Malaysia,False,False
NAM,Namibia,False,True
NER,Niger,False,False
NGA,Nigeria,False,False
NIC,Nicaragua,False,False
NLD,Netherlands,True,False
NOR,Norway,False,True
NPL,Nepal,False,False
NRU,Nauru,False,False
NZL,New Zealand,False,False
OMN,Oman,False,False
PAK,Pakistan,False,False
PAN,Panama,False,False
PER,Peru,False,True
PHL,Philippines,False,False
PLW,Palau,False,False
PNG,Papua New Guinea,False,False
POL,Poland,False,False
PRI,Puerto Rico,False,False
PRK,North Korea,False,False
PRT,Portugal,False,True
PRY,Paraguay,False,False
QAT,Qatar,False,False
ROU,Romania,False,False
RUS,Russia,False,True
RWA,Rwanda,False,False
SAU,Saudi Arabia,False,True
SDN,Sudan,False,False
SEN,Senegal,False,False
SGP,Singapore,False,False
SLB,Solomon Islands,False,False
SLE,Sierra Leone,False,False
SLV,El Salvador,False,False
SOM,Somalia,False,False
SRB,Serbia,False,False
SSD,South Sudan,False,False
STP,São Tomé & Príncipe,False,False
SUR,Suriname,False,False
SVK,Slovakia,False,False
SVN,Slovenia,False,False
SWE,Sweden,False,True
SWZ,Eswatini,False,False
SYC,Seychelles,False,False
SYR,Syria,False,False
TCD,Chad,False,False
TGO,Togo,False,False
THA,Thailand,False,True
TJK,Tajikistan,False,False
TKM,Turkmenistan,False,False
TLS,Timor-Leste,False,False
TON,Tonga,False,False
TTO,Trinidad & Tobago,False,False
TUN,Tunisia,False,True
TUR,Turkey,False,False
TUV,Tuvalu,False,False
TWN,Taiwan,False,False
TZA,Tanzania,False,False
UGA,Uganda,False,False
UKR,Ukraine,False,True
URY,Uruguay,False,True
USA,USA,True,True
UZB,Uzbekistan,False,False
VAT,Vatican City,False,False
VCT,St. Vincent & Grenadines,False,False
VEN,Venezuela,False,False
VNM,Vietnam,False,True
VUT,Vanuatu,False,False
WSM,Samoa,False,False
YEM,Yemen,False,False
ZAF,South Africa,False,True
ZMB,Zambia,False,False
ZWE,Zimbabwe,False,False
